elapse_s,height_cm,vel_setpoint_cm_s
0.0030064,50,50
0.1071425,50,50
0.2328589,50,50
0.3409543,50,50
0.4648962,50,50
0.5734282,50,50
0.6740417,50,50
0.7754275,50,50
0.8705352,50,50
0.9790398,50,50
1.0726531,50,50
1.181022,50,50
1.275041,50,50
1.3832703,60,37
1.4900822,60,50
1.5972348,60,50
1.7055838,70,34
1.828064,70,50
1.9374706,70,50
2.053219,80,32
2.1545939,80,50
2.2564721,90,25
2.3579678,90,50
2.4601956,90,50
2.5625694,100,27
2.6651685,100,50
2.7660291,100,50
2.8689862,100,50
2.9702386,110,24
3.0726221,110,46
3.176466,110,45
3.2762111,110,45
3.3789005,120,18
3.4799275,120,40
3.5833383,120,39
3.6849008,130,0
3.7881778,130,34
3.8891445,130,32
3.9907141,130,31
4.0933573,130,29
4.1949252,140,0
4.2971099,140,23
4.4154525,140,20
4.5011525,140,18
4.6017744,140,17
4.7097744,140,14
4.8197769,140,12
4.9127764,140,10
5.0207736,140,0
5.129774,150,-19
5.2375851,150,0
5.3456256,150,0
5.4703641,150,0
5.5708862,150,0
5.6739413,150,-10
5.7758065,150,-12
5.8778301,150,-15
5.9791517,150,-17
6.0818349,150,-20
6.1830444,150,-22
6.2847285,140,0
6.3857725,140,-24
6.4894089,140,-26
6.5919408,140,-28
6.6935463,140,-30
6.7972505,140,-32
6.8976327,140,-34
6.9992904,140,-36
7.1019482,140,-38
7.203897,140,-40
7.305428,130,-13
7.40777,130,-41
7.5091612,130,-42
7.6121145,130,-44
7.7138253,120,-16
7.8154341,120,-43
7.9170687,120,-44
8.0193993,120,-46
8.1211266,120,-46
8.2350668,110,-25
8.3446508,110,-45
8.4532136,110,-46
8.5639942,110,-46
8.6714623,100,-21
8.7811377,100,-44
8.8866947,100,-44
8.9881209,90,-18
9.0906333,90,-40
9.1924063,90,-40
9.294025,90,-39
9.3967139,80,0
9.4978776,80,-35
9.5995367,80,-34
9.7030217,80,-33
9.8036173,80,-32
9.908197,80,-31
10.0077884,70,0
10.1106148,70,-25
10.2126227,70,-24
10.3137235,70,-22
10.4169822,70,-21
10.5199327,70,-19
10.6205633,70,-17
10.7223766,70,-16
10.8253044,60,14
10.9275703,60,0
11.028213,60,0
11.1308954,60,0
11.2320896,60,0
11.3335467,60,0
11.436528,60,0
11.537825,60,0
11.6407017,60,0
11.742315,60,0
11.8436441,60,0
11.9682151,60,11
12.091966,60,13
12.2013671,60,15
12.303163,60,17
12.4056707,60,19
12.5113078,60,21
12.6092637,60,23
12.7117917,60,25
12.8147011,60,28
12.9155792,60,29
13.0172692,60,32
13.1203273,60,33
13.2215807,70,10
13.3233293,70,34
13.4254511,70,36
13.5274648,70,37
13.6305898,70,39
13.7319557,70,40
13.833187,80,16
13.9364523,80,40
14.0366091,80,41
14.1393813,80,42
14.2405969,80,43
14.3429601,90,18
14.4456663,90,41
14.5471176,90,42
14.6487132,90,42
14.7516871,100,17
14.8531858,100,40
14.9553717,100,40
15.0564323,100,40
15.1602019,100,40
15.2607419,110,10
15.3641039,110,36
15.4655679,110,36
15.5665721,110,35
15.6695427,110,35
15.7716307,120,0
15.8739856,120,30
15.975473,120,29
16.0768058,120,28
16.1952785,120,27
16.3042134,130,0
16.4149035,130,21
16.5223672,130,20
16.6316617,130,18
16.7237651,130,17
16.8326281,130,15
16.9426982,130,13
17.0463134,140,-13
17.1484556,140,0
17.25068,140,0
17.352025,140,0
17.45424,140,0
17.5559354,140,0
17.6580184,140,0
17.7591654,140,0
17.8622145,140,0
17.9645549,140,0
18.0652081,140,-11
18.1680057,140,-13
18.2701098,140,-15
18.3716273,140,-17
18.4747182,140,-19
18.5756789,140,-21
18.6804717,140,-23
18.7794954,140,-25
18.8821564,140,-27
18.9842631,140,-29
19.08568,130,0
19.1886247,130,-30
19.289112,130,-31
19.3919488,130,-33
19.4946174,130,-34
19.5963119,130,-36
19.6984908,130,-37
19.8003689,120,-13
19.9014528,120,-37
