elapse_s,height_cm,vel_setpoint_cm_s
0.0010027,70,50
0.1074508,70,50
0.2187098,70,50
0.3102356,70,50
0.4196295,70,50
0.5275295,70,50
0.6362407,70,50
0.7442341,70,50
0.8668309,70,50
0.9755925,70,50
1.1007762,70,50
1.2226491,70,50
1.3169023,80,-46
1.4264671,80,50
1.5342903,80,50
1.6439996,90,-36
1.7349832,90,50
1.8432948,90,50
1.952149,90,50
2.0571322,100,-41
2.1609875,100,50
2.2640901,100,50
2.3626502,110,-50
2.465776,110,40
2.5660905,110,39
2.6686845,110,36
2.7702684,110,35
2.8763692,110,32
2.9757142,120,-50
3.0766879,120,19
3.1796603,120,15
3.2808219,120,11
3.3829185,120,0
3.5000219,120,0
3.6075529,120,0
3.7158997,120,0
3.8232704,120,-10
3.9304774,120,-14
4.0382915,130,-50
4.145814,130,-32
4.2500041,130,-38
4.3508227,120,50
4.4520117,120,-41
4.560031,120,-45
4.6576506,120,-49
4.7606753,120,-50
4.8623593,120,-50
4.9633915,120,-50
5.0649122,110,50
5.1681658,110,-50
5.2720483,110,-50
5.371075,110,-50
5.4741453,100,50
5.5767688,100,-50
5.6783904,100,-50
5.7823457,100,-50
5.8809424,100,-50
5.9845137,100,-50
6.0859455,90,48
6.1886958,90,-40
6.2952105,90,-38
6.4027034,90,-36
6.4946863,80,50
6.5964619,80,-24
6.7000877,80,-19
6.8009707,80,-15
6.8965938,80,-11
7.0078021,80,0
7.11457,80,0
7.2380282,70,50
7.3329515,70,14
7.4592913,70,22
7.5666771,70,28
7.6668395,80,-50
7.7696828,80,31
7.8712191,80,35
7.9730314,80,39
8.0771096,80,44
8.1770542,80,48
8.2797884,80,50
8.3812156,80,50
8.4842155,80,50
8.5855265,80,50
8.6872472,90,-50
8.7896289,90,50
8.8913525,90,50
8.9934853,90,50
9.0960673,100,-50
9.1968598,100,50
9.2996144,110,-50
9.4009179,110,40
9.5039991,110,39
9.604663,110,36
9.707204,110,35
9.8104885,120,-50
9.9131222,120,21
10.0138148,120,17
10.1148605,120,13
10.2170734,120,0
10.3244781,120,0
10.4330945,120,0
10.5237209,120,0
10.6254708,120,0
10.7448914,120,-11
10.8529644,120,-16
10.9773156,120,-21
11.0845586,120,-25
11.1866113,120,-29
11.2887062,120,-33
11.3907548,120,-37
11.4935003,120,-41
11.5938667,120,-45
11.6959266,120,-50
11.798644,110,50
11.8998648,110,-49
12.0035196,110,-50
12.1050753,110,-50
12.2067764,110,-50
12.3087331,110,-50
12.4101987,100,50
12.5113177,100,-50
12.6146789,100,-50
12.7172683,90,48
12.8190209,90,-40
12.9199949,90,-38
13.0226829,90,-36
13.1232372,90,-34
13.2285965,80,50
13.3292239,80,-21
13.4295578,80,-17
13.532944,80,-13
13.6346336,80,0
13.7368302,80,0
13.8386163,80,0
13.9398403,80,0
14.0486613,80,0
14.1435714,80,10
14.2466668,80,15
14.3579925,80,19
14.4670822,80,24
14.576178,80,28
14.6861327,80,32
14.7957102,80,37
14.9033499,80,41
15.0113793,80,45
15.1132626,80,49
15.2146808,80,50
15.3166504,90,-50
15.4187016,90,50
15.5214328,90,50
15.6228757,90,50
15.7256332,90,50
15.8273208,100,-50
15.9287019,100,50
16.0333986,100,50
16.1325891,110,-48
16.2358676,110,40
16.3390076,110,38
16.4380639,110,36
16.5421609,110,34
16.6434722,120,-50
16.7454077,120,21
16.847311,120,17
16.9501679,120,13
17.0516366,120,0
17.1527921,120,0
17.2551448,120,0
17.3571967,120,0
17.4599843,120,0
17.5617996,120,-10
17.6625416,120,-15
17.7656724,120,-19
17.8672032,120,-23
17.9697002,120,-27
18.0713804,120,-31
18.1726627,120,-35
18.2753265,120,-39
18.3776112,120,-43
18.4743805,120,-47
18.5813001,120,-50
18.6834356,110,42
18.7968432,110,-50
18.8909929,110,-50
18.9990521,110,-50
19.1078558,100,41
19.2306577,100,-50
19.3380467,100,-50
19.4479811,100,-50
19.5510872,100,-50
19.6524084,90,48
19.7536986,90,-40
19.8571196,90,-38
19.957899,90,-36
