elapse_s,height_cm,vel_setpoint_cm_s
0.0010038,90,50
0.1235237,90,50
0.2321735,90,50
0.3557413,90,50
0.4642485,90,50
0.5677504,90,50
0.6708478,90,50
0.7716343,90,50
0.8954648,90,50
1.0044182,90,50
1.1257252,90,50
1.231597,90,50
1.3411681,90,50
1.4659096,90,50
1.5591937,90,50
1.6518362,90,50
1.7439789,90,50
1.84186,90,50
1.9450024,90,50
2.0456363,90,50
2.1484733,90,50
2.252512,90,50
2.3517294,100,44
2.4548891,100,50
2.5554988,100,50
2.6594264,110,35
2.7603938,110,38
2.8621049,110,36
2.9648242,120,19
3.0663596,120,20
3.168927,120,16
3.2700397,130,0
3.3720507,130,0
3.4747066,130,0
3.5763067,130,-14
3.6790879,130,-21
3.780175,130,-28
3.8814162,130,-33
3.9849983,130,-40
4.0895538,130,-45
4.1910008,130,-50
4.290671,130,-50
4.3919302,120,-50
4.4944282,120,-50
4.5962423,120,-50
4.6989784,110,-50
4.80453,110,-50
4.9022016,110,-50
5.0053548,100,-45
5.1128213,100,-50
5.2226969,100,-50
5.3313484,90,-35
5.442504,90,-38
5.549216,90,-35
5.6569778,80,-19
5.7696276,80,-19
5.8707713,70,0
5.9735534,70,0
6.0741518,70,0
6.1779481,70,12
6.2791714,70,17
6.3815444,70,24
6.4825522,70,30
6.5850276,70,36
6.6925146,70,43
6.7888286,70,48
6.891348,70,50
6.9939236,70,50
7.0946061,80,50
7.1987173,80,50
7.2991011,80,50
7.4010123,90,50
7.5033962,90,50
7.6047681,90,50
7.7073268,100,45
7.8085287,100,50
7.9103532,110,35
8.0142691,110,38
8.1147571,110,36
8.217322,120,19
8.3184723,120,20
8.4234427,120,16
8.5264979,120,12
8.6253985,120,0
8.7329885,130,-10
8.8326368,130,-11
8.9308112,130,-17
9.0360272,130,-23
9.138548,130,-29
9.2492343,130,-36
9.3598148,130,-43
9.4672478,130,-50
9.5908082,120,-42
9.6842412,120,-50
9.7927116,120,-50
9.8866477,120,-50
9.9962167,110,-48
10.0887986,110,-50
10.1976041,110,-50
10.3052003,100,-45
10.4107647,100,-50
10.5123964,90,-35
10.6146009,90,-38
10.7166957,90,-36
10.8173582,80,-20
10.9206105,80,-20
11.022366,80,-16
11.1233647,70,0
11.2267822,70,0
11.328517,70,0
11.4296261,70,15
11.5343152,70,21
11.6332472,70,27
11.7351736,70,34
11.8363322,70,39
11.9395782,70,46
12.0416892,70,50
12.143204,70,50
12.2458723,80,49
12.3475128,80,50
12.4490234,80,50
12.5510829,90,50
12.6530829,90,50
12.7552986,90,50
12.8572913,100,44
12.9593313,100,50
13.0612915,110,35
13.1637969,110,38
13.2809211,110,35
13.3898787,120,19
13.5148788,120,19
13.6222296,130,0
13.7241515,130,0
13.8261523,130,0
13.9281518,130,-12
14.0301515,130,-19
14.1332652,130,-25
14.2344677,130,-31
14.3354245,130,-37
14.4379977,130,-43
14.5400017,130,-49
14.642002,130,-50
14.7451985,130,-50
14.8461984,130,-50
14.949554,120,-50
15.0525473,120,-50
15.1535471,120,-50
15.2455468,120,-50
15.3516747,120,-50
15.4594085,110,-50
15.5616347,110,-50
15.6646353,100,-44
15.7649612,100,-50
15.8679614,90,-35
15.9682052,90,-38
16.0722067,90,-36
16.1727398,80,-20
16.2753664,80,-20
16.3771682,80,-16
16.4791689,70,0
16.5812149,70,0
16.683168,70,0
16.7851674,70,15
16.8871693,70,20
16.9892201,70,27
17.103731,70,34
17.197852,70,39
17.3058005,70,46
17.399844,70,50
17.50226,70,50
17.6173973,70,50
17.7235821,70,50
17.8339105,70,50
17.9439174,80,50
18.0514937,80,50
18.1625886,90,50
18.2661864,90,50
18.3678894,100,44
18.469229,100,50
18.5705267,100,50
18.6715878,100,50
18.7762285,110,35
18.8766318,110,38
18.9793028,120,21
19.0808637,120,22
19.1832527,120,19
19.2853339,120,14
19.3869038,120,10
19.4961558,130,0
19.5907052,130,0
19.6928664,130,-15
19.7954566,130,-20
19.8968617,130,-27
19.9983609,130,-34
