elapse_s,height_cm,vel_setpoint_cm_s
0.0,50,50
0.1072244,50,50
0.2163014,50,50
0.3190825,50,50
0.421083,50,50
0.5230826,50,50
0.6250825,50,50
0.7270826,50,50
0.8300868,50,50
0.9310884,50,50
1.0337079,50,50
1.1348673,50,50
1.2378601,50,50
1.3404269,50,50
1.4417578,50,50
1.5442077,50,50
1.6457715,60,50
1.7473738,60,50
1.8502498,60,50
1.9512883,60,50
2.0544124,70,50
2.1552611,70,50
2.2576556,80,43
2.3724734,80,50
2.4807931,80,50
2.5877272,90,37
2.6960667,90,50
2.788778,90,50
2.8977425,100,27
2.9909415,100,50
3.1000473,100,50
3.1953537,110,12
3.3031793,110,38
3.411535,110,38
3.5215228,120,0
3.6284149,120,26
3.7361901,130,0
3.8392326,130,13
3.9410315,130,11
4.0432164,130,10
4.1441353,130,0
4.2469866,130,0
4.3490749,130,0
4.4512808,130,0
4.5527663,130,0
4.6551906,130,0
4.7570813,130,0
4.8593453,130,0
4.9600411,130,0
5.0641782,130,0
5.1653113,130,0
5.2677541,130,0
5.3689739,130,0
5.470077,130,-11
5.5768589,130,-13
5.6848928,130,-14
5.8068884,130,-16
5.9010287,130,-17
6.0096119,130,-19
6.1033587,130,-20
6.2138266,130,-22
6.3076993,130,-23
6.4178227,130,-25
6.5268721,130,-27
6.6470953,130,-28
6.7494787,130,-30
6.8507182,130,-32
6.9499352,120,0
7.0525089,120,-24
7.1538402,120,-25
7.2545216,120,-26
7.3578069,120,-27
7.4632074,120,-28
7.5625209,120,-29
7.6638188,120,-30
7.7658725,110,0
7.8677326,110,-21
7.9689687,110,-21
8.0718938,110,-22
8.1738942,110,-22
8.2758051,110,-23
8.3770267,110,-23
8.4797345,110,-24
8.5828204,110,-24
8.6838686,100,11
8.7854371,100,-14
8.8878665,100,-14
8.9893108,100,-14
9.0921463,100,-14
9.1940321,100,-14
9.2962346,100,-14
9.3963842,100,-14
9.4980649,100,-14
9.6097708,100,-14
9.734616,100,-14
9.8421671,90,18
9.9516706,90,0
10.060117,90,0
10.1623489,90,0
10.2641962,90,0
10.365792,90,0
10.4680281,90,0
10.5715082,90,0
10.6724748,90,0
10.7746923,90,0
10.8768523,90,0
10.9782164,90,0
11.0811939,90,0
11.1826712,90,0
11.2839744,90,0
11.3867383,90,0
11.4880942,90,0
11.5910541,90,0
11.6925399,90,0
11.7953082,90,0
11.8986883,90,0
11.9985842,90,0
12.1013796,90,0
12.2024844,90,0
12.3041805,90,0
12.4068801,90,0
12.5082089,90,0
12.6107764,90,0
12.7122602,90,10
12.8147913,90,10
12.9185276,90,11
13.0181947,90,11
13.1232561,90,12
13.2220991,90,12
13.3248859,90,13
13.4272787,100,-19
13.5291851,100,0
13.6313375,100,0
13.7366042,100,0
13.8445928,100,0
13.955527,100,0
14.0651913,100,0
14.1873348,100,0
14.2931513,100,0
14.3957995,100,0
14.4969436,100,0
14.5992826,100,0
14.7005885,100,0
14.8026744,100,0
14.9062031,100,0
15.006797,100,0
15.1096835,100,0
15.2116626,100,0
15.3145563,100,0
15.4163676,100,0
15.5177171,100,0
15.620621,100,0
15.7225792,100,0
15.8241626,100,0
15.9266649,100,0
16.0277761,100,0
16.1305358,100,0
16.2325173,100,0
16.3347004,100,0
