elapse_s,height_cm,vel_setpoint_cm_s
0.000593,60,50
0.1099301,60,50
0.2187144,60,50
0.326005,60,50
0.4211651,60,50
0.5321916,60,50
0.6549864,60,50
0.7625258,60,50
0.8558759,60,50
0.9646767,60,50
1.0729556,60,50
1.1817056,60,50
1.2896102,60,50
1.3920036,60,50
1.4965561,60,50
1.5991364,60,50
1.7010292,70,-26
1.8034175,70,50
1.9037966,70,50
2.0044116,70,50
2.1070697,80,-36
2.2051049,80,50
2.3150611,80,50
2.4238841,80,50
2.5471298,90,-20
2.6555046,90,50
2.7701503,90,50
2.8727585,100,-50
2.974946,100,50
3.0769322,100,50
3.1791707,100,50
3.2802501,100,50
3.387524,100,50
3.4840177,110,-50
3.5846402,110,38
3.6886553,110,38
3.788969,120,-50
3.891455,120,26
3.9939874,120,25
4.0955266,120,24
4.1974604,120,23
4.2989278,120,22
4.4029371,120,21
4.5039981,130,-50
4.6059713,130,0
4.7080993,130,0
4.8087204,130,0
4.9126155,130,0
5.0363315,130,0
5.1464818,130,0
5.2696264,130,0
5.3755578,130,0
5.4731022,130,0
5.5740259,130,0
5.677764,130,0
5.7784182,130,0
5.8809791,130,-10
5.9830476,130,-12
6.0850248,130,-13
6.1864147,130,-15
6.2895214,130,-16
6.3919362,130,-18
6.4927331,130,-19
6.5954317,130,-21
6.6975418,130,-23
6.7986182,130,-24
6.9004619,130,-26
7.0030745,130,-27
7.104475,120,50
7.2072698,120,-19
7.309034,120,-20
7.4107158,120,-21
7.5129567,120,-22
7.6144674,120,-23
7.7172209,120,-24
7.8190389,120,-25
7.9216934,120,-26
8.0229054,120,-27
8.1241267,110,50
8.2272877,110,-18
8.3284234,110,-19
8.4309718,110,-19
8.5325183,110,-20
8.6351014,110,-20
8.7366016,110,-21
8.838097,110,-21
8.9409779,110,-22
9.0547194,110,-23
9.1783022,110,-23
9.2864917,110,-24
9.3960416,110,-24
9.5019527,110,-25
9.6039355,110,-25
9.7052466,110,-26
9.8071055,110,-26
9.9101528,100,50
10.0111769,100,-16
10.1126868,100,-16
10.2162962,100,-16
10.3171318,100,-16
10.418912,100,-16
10.5219618,100,-16
10.6298488,100,-16
10.7256669,100,-16
10.8315428,100,-16
10.9349897,100,-16
11.0308365,100,-16
11.1338298,100,-16
11.2363296,100,-16
11.3410161,100,-16
11.4417149,100,-16
11.5431667,100,-16
11.6453211,100,-16
11.7488665,100,-16
11.8491114,100,-16
11.9577255,100,-16
12.0568037,100,-16
12.1578031,100,-16
12.2557285,100,-16
12.3594967,100,-16
12.4658402,100,-16
12.5663729,90,50
12.6673805,90,0
12.7717179,90,0
12.8662905,90,0
12.9697737,90,0
13.0878338,90,0
13.1949913,90,0
13.3053049,90,0
13.4141654,90,0
13.5222684,90,0
13.6320392,90,0
13.7357058,100,-50
13.8362027,100,-10
13.9392286,100,-10
14.0397499,90,50
14.1424472,90,0
14.2444907,90,0
14.3461768,90,0
14.4490724,90,0
14.5507261,90,0
14.6519561,90,0
14.7572442,90,0
14.8562002,90,0
14.9588216,90,0
15.0609626,90,0
15.1551769,90,0
15.265123,90,0
15.3656425,90,0
15.4686448,90,0
15.5702124,90,0
15.6723563,90,0
15.774558,90,0
15.8756249,90,0
15.9786896,90,0
16.0808493,90,0
16.1899376,90,10
16.2846033,90,10
16.3860442,90,11
16.4886805,90,11
16.5910407,90,12
16.6958193,90,12
16.7953796,90,13
16.8980373,90,13
16.9993351,90,14
17.1003468,90,14
17.213102,90,15
17.3075672,100,-50
17.4164207,100,0
17.5225302,100,0
17.6302533,100,0
17.7375691,100,0
17.8605861,100,0
17.9682032,100,0
18.0705764,100,0
18.1714338,100,0
18.2748151,100,0
18.3765094,100,0
18.4794779,100,0
18.5805056,100,0
18.6820694,100,0
18.7840877,100,0
18.8855804,100,0
18.9891973,100,0
19.0918486,100,0
19.1865713,100,0
19.2942652,100,0
19.398176,100,0
19.4987127,100,0
19.6028975,100,0
19.7091706,100,0
19.8043127,100,0
19.9057157,100,0
