elapse_s,height_cm,vel_setpoint_cm_s
0.0030281,70,50
0.1072314,70,50
0.2157361,70,50
0.3262093,70,50
0.4280513,70,50
0.529217,70,50
0.6312509,70,50
0.7334561,70,50
0.8363354,70,50
0.9380129,70,50
1.0390721,70,50
1.1348222,70,50
1.2431888,70,50
1.3464993,70,50
1.4510712,70,50
1.5490095,70,50
1.6623356,70,50
1.7529065,80,50
1.85532,80,50
1.9582658,80,50
2.05913,90,50
2.1760608,90,50
2.2675499,100,44
2.3761394,100,50
2.4828554,100,50
2.590908,110,23
2.6985173,110,25
2.822585,110,23
2.9270403,120,0
3.0291889,120,0
3.1308494,120,0
3.2320701,130,-39
3.3346115,130,-40
3.435989,130,-47
3.5367132,130,-50
3.6299039,130,-50
3.7357634,130,-50
3.8444508,120,-45
3.9545511,120,-50
4.0603034,120,-50
4.152372,110,-35
4.2530323,110,-42
4.3557218,110,-44
4.4573284,100,-19
4.5600518,100,-24
4.6619057,100,-24
4.7631746,100,-24
4.8664721,90,0
4.9679214,90,0
5.0690572,90,0
5.1717905,90,0
5.2728316,90,0
5.3761468,90,0
5.478168,90,0
5.5800148,90,11
5.6809784,90,14
5.7892423,90,15
5.8858378,90,18
5.9878147,90,19
6.1040346,90,22
6.2116071,90,24
6.3336655,90,26
6.4412433,90,29
6.5349019,90,30
6.641239,90,33
6.7490041,90,35
6.8560039,90,37
6.9569366,100,12
7.0586597,100,17
7.1612472,100,17
7.2621013,100,17
7.3642319,100,17
7.4658661,100,17
7.5690605,100,17
7.6692782,100,17
7.7724197,110,0
7.8753316,110,0
7.9803705,110,0
8.0778664,110,-10
8.1814995,110,-12
8.2819096,110,-14
8.3840318,110,-16
8.4869436,110,-18
8.5890649,110,-20
8.6908242,110,-22
8.7929338,110,-25
8.8951436,110,-26
8.9960731,110,-29
9.0986185,100,0
9.200284,100,0
9.3030118,100,0
9.4048738,100,0
9.5058842,100,0
9.607906,100,0
9.7229956,100,0
9.8304346,100,0
9.9250773,100,0
10.0342551,100,0
10.1429683,100,0
10.2511457,100,0
10.3605861,100,0
10.468551,100,0
10.5762594,100,0
10.6800105,100,0
10.7820591,100,0
10.8836445,100,0
10.9856827,100,0
11.0869203,100,0
11.1895264,100,0
11.2909177,100,0
11.393887,100,0
11.4953729,100,0
11.5963858,100,0
11.6999854,100,0
11.8007266,100,0
11.9040862,100,0
12.0074393,100,0
