elapse_s,height_cm,vel_setpoint_cm_s
0.0020107,80,50
0.108084,80,50
0.2193184,80,50
0.3257334,80,50
0.4345126,80,50
0.5445965,80,50
0.6365429,80,50
0.7456419,80,50
0.8523902,80,50
0.9600594,80,50
1.0693027,80,50
1.1744616,80,50
1.2791779,80,50
1.3733339,90,-50
1.4681163,90,50
1.5606544,90,50
1.6701744,90,50
1.7767572,90,50
1.871739,100,-50
1.981141,100,50
2.0766746,100,50
2.1855742,100,50
2.2781329,110,-50
2.3859036,110,25
2.4937281,110,23
2.6042317,120,-50
2.712296,120,0
2.8185787,120,0
2.9268082,120,-13
3.0355397,120,-18
3.1429923,120,-22
3.252098,120,-26
3.3603541,120,-31
3.4653601,120,-34
3.5732388,120,-39
3.6684744,120,-43
3.7746108,110,50
3.8803626,110,-27
3.9754332,110,-29
4.0765875,110,-31
4.1780096,110,-33
4.2800403,110,-35
4.3834655,110,-37
4.4843488,100,50
4.588533,100,-17
4.693864,100,-17
4.7999159,100,-17
4.8996369,100,-17
4.9948177,100,-17
5.1019332,100,-17
5.2003605,100,-17
5.300742,100,-17
5.4041672,100,-17
5.5133321,90,50
5.6120375,90,0
5.7090764,90,0
5.8100932,90,10
5.9132403,90,12
6.0228291,90,15
6.1171638,90,16
6.2269892,90,19
6.3355811,90,21
6.4434556,90,23
6.5518024,90,25
6.6612975,90,27
6.7680359,100,-50
6.8759403,100,0
6.9841013,100,0
7.0932734,100,0
7.1994466,100,0
7.3100171,100,0
7.3981831,100,0
7.5024417,100,0
7.604307,100,0
7.6972953,100,0
7.8061246,100,0
7.9134777,100,0
8.0106139,100,0
8.1106478,100,0
8.2164602,100,0
8.3100542,100,0
8.4123456,100,0
8.5129061,100,0
8.6161496,100,0
8.7191782,100,0
8.8203156,100,0
8.9207323,100,0
9.0274959,100,0
9.1263373,100,0
9.2277312,100,0
9.3291996,100,0
9.431426,100,0
9.5328915,100,0
9.6351492,100,0
9.738036,100,0
